label,group,group_label,target,samples,mean_delta,median_delta,std_delta,se_delta,ci95_low,ci95_high,improve_rate,worse_rate,p_normal_approx,source_sample_mae,adapter_sample_mae
seed7,overall,all test events,all,27499,-0.0001068966770521957,-8.666515350341797e-05,0.0005514948600485636,3.3256996034345894e-06,-0.0001134150482749275,-0.00010037830582946389,0.5857667551547329,0.4141605149278156,1.1201799125016716e-226,0.7091608638742933,0.7090539671972412
seed11,overall,all test events,all,27499,-0.00020770141948695236,-0.0001722574234008789,0.0005884692760116137,3.548667774878133e-06,-0.0002146568083257135,-0.00020074603064819123,0.6617331539328702,0.33812138623222665,0.0,0.7085425493231988,0.7083348479037119
seed23,overall,all test events,all,27499,-0.0002810830524912435,-0.0001742243766784668,0.002505801891859686,1.5110828698040024e-05,-0.000310700276739402,-0.00025146582824308504,0.5503836503145569,0.4496163496854431,3.1283838871681767e-77,0.7069220908338115,0.7066410077813203
seed7,overall,all test events,affected,26205,-0.00012469900385657013,-0.0001125335693359375,0.0009577912239840883,5.91668940040169e-06,-0.00013629571508135744,-0.00011310229263178281,0.5693569929402785,0.4306430070597214,1.3262599945662393e-98,1.1023887829763748,1.1022640839725182
seed11,overall,all test events,affected,26205,-0.00014101893955049478,-0.00011783838272094727,0.0011250369761962962,6.9498385299792415e-06,-0.0001546406230692541,-0.00012739725603173546,0.5590154550658272,0.4409845449341729,1.5452797524449522e-91,1.1001246184655114,1.0999835995259608
seed23,overall,all test events,affected,26205,-0.0004469956317729928,-0.0002970695495605469,0.004644755998647899,2.8692660672268537e-05,-0.0005032332466906391,-0.0003907580168553465,0.5475672581568403,0.4524327418431597,1.0152919432371673e-54,1.0981628977407698,1.0977159021089968
seed7,overall,all test events,unaffected,27393,-0.00010344128840459563,-6.809830665588379e-05,0.0006573825536840415,3.971900636482252e-06,-0.00011122621365210085,-9.565636315709041e-05,0.565582448070675,0.4343445405760596,1.6034416083515474e-149,0.5326604363917695,0.532556995103365
seed11,overall,all test events,unaffected,27393,-0.00025003625993394766,-0.00019752979278564453,0.0006364938048135922,3.845690966832678e-06,-0.00025757381422893973,-0.00024249870563895561,0.6805753294637316,0.31931515350637024,0.0,0.5330157863533838,0.5327657500934498
seed23,overall,all test events,unaffected,27393,-0.00019252058165499785,-0.00010791420936584473,0.0028116411306909335,1.698791538346555e-05,-0.00022581689580659033,-0.00015922426750340538,0.5274705216661191,0.4725294783338809,9.0275988037068e-30,0.5314577902710641,0.531265269689409
seed7,severity_low,severity <= 1.557,all,9167,-9.2138050344917e-05,-6.729364395141602e-05,0.0005923150283825035,6.186416224417071e-06,-0.00010426342614477446,-8.001267454505954e-05,0.5720519253845314,0.4279480746154685,3.6266596275690854e-50,0.5844941994136099,0.584402061363265
seed11,severity_low,severity <= 1.557,all,9167,-0.000199507099013559,-0.0001564621925354004,0.0005739859604107974,5.994978833763223e-06,-0.0002112572575277349,-0.00018775694049938307,0.6642303916221228,0.33566052143558417,7.764296849258218e-243,0.584909464856113,0.5847099577570993
