group,target,seeds,seed_mean_delta,seed_std_delta,seed_min_delta,seed_max_delta,all_seeds_improved,mean_improve_rate
overall,all,3,-0.00019856038301013052,8.745222843387795e-05,-0.0002810830524912435,-0.0001068966770521957,True,0.59929451980072
overall,affected,3,-0.00023757119172668588,0.00018155035704122246,-0.0004469956317729928,-0.00012469900385657013,True,0.558646568720982
overall,unaffected,3,-0.0001819993766645137,7.386164928609248e-05,-0.00025003625993394766,-0.00010344128840459563,True,0.5912094330668419
severity_low,all,3,-0.0001802010698269239,8.017275683709955e-05,-0.0002489580601222957,-9.2138050344917e-05,True,0.5957965164903095
severity_low,affected,3,-0.00025605829105702465,0.0001686524398582373,-0.0004430404081808314,-0.00011543007754214794,True,0.566184555527362
severity_low,unaffected,3,-0.00016206905123305646,6.308840516182942e-05,-0.00020016874025945795,-8.924693563213087e-05,True,0.5804200913242009
severity_mid,all,3,-0.0002630020722636855,0.00014719210179657197,-0.0004167178617486572,-0.00012334205272791494,True,0.6204865277626269
severity_mid,affected,3,-0.000316963860087965,0.00025722812943713985,-0.0006121816580218268,-0.00014105037825816246,True,0.5722082742058726
severity_mid,unaffected,3,-0.000219021404896672,8.701450012642453e-05,-0.00027237281609798845,-0.00011861142351891969,True,0.6042146013659108
severity_high,all,3,-0.0001524679507747913,4.095276901857151e-05,-0.00017755064753580797,-0.00010520955999887387,True,0.5815966539370795
severity_high,affected,3,-0.00014228287566257238,0.00013189774982370631,-0.0002852302842383769,-2.529494069179992e-05,True,0.5386014698391909
severity_high,unaffected,3,-0.00016492949020648268,0.0001029872183987778,-0.0002837973505098806,-0.00010246389488750833,True,0.5889946395361557
recovery_short_lt30,all,3,-0.00020270170595245536,0.00010302358684167177,-0.00031281550951058306,-0.00010865670156253045,True,0.6001485844676165
recovery_short_lt30,affected,3,-0.00024304725037210153,0.00019069015067986245,-0.00046317668568468014,-0.0001285095753012382,True,0.560054339800951
recovery_short_lt30,unaffected,3,-0.00019445733922712486,8.036887874389017e-05,-0.00026446558421281476,-0.00010669631295792247,True,0.5900983763896664
recovery_mid_30_90,all,3,-0.00026228598353895683,0.00014770122001573106,-0.000386054514075172,-9.878152573602439e-05,True,0.6297830374753451
recovery_mid_30_90,affected,3,-0.00045728428720804274,0.000323405494213347,-0.0008040288248674948,-0.00016384002793142348,True,0.599052413384661
recovery_mid_30_90,unaffected,3,-0.00016681351698472928,8.687365457288882e-05,-0.0002524516489506478,-7.875492598336877e-05,True,0.5973007839634812
recovery_long_ge90,all,3,-0.0001754191602763247,5.929357857565539e-05,-0.00021588242963838428,-0.0001073568729266612,True,0.5894484827506634
recovery_long_ge90,affected,3,-0.0001679256326441672,0.0001390937211446103,-0.00032669958735904704,-6.75580275553515e-05,True,0.5454466683996188
recovery_long_ge90,unaffected,3,-0.00017291494311530453,0.00010194666549658577,-0.00029034732831505536,-0.00010710306269846913,True,0.5906397247998151
severity_high_and_long,all,3,-0.00013581414708126307,3.611946115173611e-05,-0.00017237214879387415,-0.00010014981168755738,True,0.5749159297546395
severity_high_and_long,affected,3,-0.000119850454588986,0.00011535248777259767,-0.00024091556013142697,-1.1217729257518765e-05,True,0.5338564370822435
severity_high_and_long,unaffected,3,-0.00014979700847634939,0.00012081427987211207,-0.00028767182933839275,-6.244790202862105e-05,True,0.5846544334872883
