group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta,seed
overall,all test events,27499,0.7100331504592403,1.1077569187951373,0.5234293285501191,0.7099256649177548,1.1076159617905763,0.523337553449725,-0.0001074855414855,-0.0001409570045609,-9.17751003941536e-05,7
severity_low,severity <= 1.557,9167,0.5708222113476559,0.836480299670587,0.5048225353448133,0.5707428313418923,0.8363541152349908,0.5047547893179893,-7.938000576357407e-05,-0.0001261844355961,-6.774602682391162e-05,7
severity_mid,1.557 < severity <= 2.578,9167,0.6635133999875259,0.961574598252782,0.5259361737077582,0.6633895804121908,0.9614127758665802,0.5258299088399305,-0.0001238195753351,-0.0001618223862018,-0.0001062648678277,7
severity_high,severity > 2.578,9165,0.8384061639853401,1.2937217362285212,0.5366462920788909,0.8382950395558917,1.293590397973311,0.5365485330754154,-0.0001111244294483,-0.0001313382552101,-9.775900347552824e-05,7
recovery_short_lt30,recovery < 30 min,12563,0.607668147898695,0.9387177468793456,0.5059739415595277,0.6075637186275905,0.9385602395990752,0.5058858190779986,-0.0001044292711045,-0.0001575072802703,-8.812248152911817e-05,7
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6708426937313167,1.0290601793925438,0.5212632026628646,0.670738533359356,1.02889216926088,0.5211856917331965,-0.0001041603719607,-0.0001680101316636,-7.751092966812312e-05,7
recovery_long_ge90,recovery >= 90 min,11556,0.7946698908930332,1.1977368485263744,0.539981702917655,0.7945593195255785,1.1976083666533106,0.5398824748335511,-0.0001105713674547,-0.0001284818730638,-9.922808410389727e-05,7
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8423464602195627,1.2814350930932423,0.5408662556669466,0.8422411504768921,1.281313072361224,0.5407724273552262,-0.0001053097426706,-0.0001220207320185,-9.382831172033423e-05,7
overall,all test events,27499,0.7092160820874674,1.104708399427208,0.5236592162777701,0.7090052319761494,1.1045597563837417,0.5234191723852574,-0.000210850111318,-0.0001486430434662,-0.0002400438925127,11
severity_low,severity <= 1.557,9167,0.570843379915046,0.8361901647721611,0.5049210509372556,0.570644616913098,0.8359475872906791,0.5047331751220462,-0.0001987630019479,-0.000242577481482,-0.0001878758152094,11
severity_mid,1.557 < severity <= 2.578,9167,0.662649043449321,0.9590582385264724,0.5258343452371275,0.6623993900386083,0.958815485291833,0.5255815068864497,-0.0002496534107127,-0.0002427532346394,-0.0002528383506777,11
severity_high,severity > 2.578,9165,0.8370994862822654,1.2894366546477125,0.5373135303284445,0.8369145287082134,1.2893822162247257,0.5370421182303676,-0.000184957574052,-5.443842298658019e-05,-0.0002714120980769,11
recovery_short_lt30,recovery < 30 min,12563,0.6068674064262438,0.936505072192046,0.5056069426534099,0.6066772669019179,0.936347209914264,0.5054068903532705,-0.0001901395243258,-0.000157862277782,-0.0002000523001394,11
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6708425661359243,1.028702240997568,0.5214124696853645,0.670552728949006,1.0282870021378698,0.5211749899674715,-0.0002898371869183,-0.000415238859698,-0.000237479717893,11
recovery_long_ge90,recovery >= 90 min,11556,0.7936362799495754,1.1938049753216218,0.5407794661922936,0.7934300817958007,1.1937111817387922,0.540502222344772,-0.0002061981537747,-9.379358282957106e-05,-0.0002772438475215,11
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8410956339689718,1.2770512322999363,0.5417665848777993,0.8409140754836807,1.2770062185205748,0.5414913020244081,-0.0001815584852911,-4.5013779361502415e-05,-0.0002752828533911,11
overall,all test events,27499,0.7075284829132151,1.1021290314300882,0.5223900088174734,0.707234555927105,1.1015989144188825,0.5222068953645499,-0.00029392698611,-0.0005301170112057,-0.0001831134529235,23
severity_low,severity <= 1.557,9167,0.5699663124403138,0.8362681306787395,0.5038067052232063,0.5696935358426795,0.8357050764535594,0.5036060434150174,-0.0002727765976343,-0.0005630542251801,-0.0002006618081888,23
severity_mid,1.557 < severity <= 2.578,9167,0.6619068212118702,0.9600897260219046,0.5242734319975974,0.6614615549079467,0.9592964022400166,0.5239887994670082,-0.0004452663039234,-0.000793323781888,-0.0002846325305891,23
severity_high,severity > 2.578,9165,0.8340806650433672,1.2835414815661446,0.5362009946371183,0.8339043352591964,1.283202255656528,0.5361326330094137,-0.0001763297841708,-0.0003392259096164,-6.836162770462728e-05,23
recovery_short_lt30,recovery < 30 min,12563,0.6065161953340562,0.937863312824626,0.5047306017851748,0.6061478244135489,0.937208302110088,0.5044502862724424,-0.0003683709205073,-0.0006550107145379,-0.0002803155127324,23
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6697321161957819,1.0276247439130548,0.5202882507032417,0.6693433798202477,1.0267147660402605,0.5201171430349171,-0.0003887363755341,-0.0009099778727943,-0.0001711076683246,23
recovery_long_ge90,recovery >= 90 min,11556,0.79082735054456,1.189192684310146,0.5391099926548031,0.7906115749071018,1.1887903284761163,0.5390121194427684,-0.0002157756374582,-0.0004023558340298,-9.787321203469368e-05,23
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8375846330736829,1.2705793719340213,0.5402885131514297,0.8374512705391206,1.2702871877649082,0.5402641957275992,-0.0001333625345623,-0.000292184169113,-2.4317423830466645e-05,23
