group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta,seed
overall,all test events,27499,0.7100331504592403,1.1077569187951373,0.5234293285501191,0.7100116242149318,1.107735490973796,0.523407760076672,-2.15262443085118e-05,-2.1427821341291065e-05,-2.156847344714219e-05,7
severity_low,severity <= 1.557,9167,0.5708222113476559,0.836480299670587,0.5048225353448133,0.5708028591689672,0.8364530181344322,0.5048051544476956,-1.935217868864747e-05,-2.7281536154832864e-05,-1.7380897117669214e-05,7
severity_mid,1.557 < severity <= 2.578,9167,0.6635133999875259,0.961574598252782,0.5259361737077582,0.6634883350197253,0.9615453658534284,0.5259130459254386,-2.5064967800636495e-05,-2.9232399353706917e-05,-2.3127782319609658e-05,7
severity_high,severity > 2.578,9165,0.8384061639853401,1.2937217362285212,0.5366462920788909,0.83838632168028,1.2937074897781382,0.536622738894277,-1.9842305060024937e-05,-1.4246450382948694e-05,-2.3553184613889225e-05,7
recovery_short_lt30,recovery < 30 min,12563,0.607668147898695,0.9387177468793456,0.5059739415595277,0.6076446580521842,0.9386883440941708,0.5059522742827105,-2.3489846510904577e-05,-2.9402785174603707e-05,-2.166727681718328e-05,7
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6708426937313167,1.0290601793925438,0.5212632026628646,0.6708186462530371,1.0290214833498437,0.5212452568568474,-2.4047478279554113e-05,-3.869604270012594e-05,-1.7945806017216626e-05,7
recovery_long_ge90,recovery >= 90 min,11556,0.7946698908930332,1.1977368485263744,0.539981702917655,0.7946504291735197,1.19772221730511,0.5399591854479224,-1.946171951350273e-05,-1.463122126454941e-05,-2.251746973258584e-05,7
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8423464602195627,1.2814350930932423,0.5408662556669466,0.8423280784243838,1.281423237081436,0.5408433451617062,-1.8381795178878942e-05,-1.1856011806532509e-05,-2.2910505240392176e-05,7
overall,all test events,27499,0.7092160820874674,1.104708399427208,0.5236592162777701,0.7091265323950818,1.1046525881125075,0.5235538376265643,-8.954969238561539e-05,-5.581131470044909e-05,-0.0001053786512058,11
severity_low,severity <= 1.557,9167,0.570843379915046,0.8361901647721611,0.5049210509372556,0.5707580435972672,0.8360931465752859,0.5048385956540308,-8.533631777873918e-05,-9.70181968752426e-05,-8.245528322481377e-05,11
severity_mid,1.557 < severity <= 2.578,9167,0.662649043449321,0.9590582385264724,0.5258343452371275,0.6625433677325497,0.9589643204143784,0.5257232379827889,-0.0001056757167712,-9.391811209391589e-05,-0.0001111072543386,11
severity_high,severity > 2.578,9165,0.8370994862822654,1.2894366546477125,0.5373135303284445,0.8370212210538187,1.2894199956007175,0.537194466936876,-7.826522844667227e-05,-1.6659046994549342e-05,-0.0001190633915685,11
recovery_short_lt30,recovery < 30 min,12563,0.6068674064262438,0.936505072192046,0.5056069426534099,0.6067872291101939,0.9364471052839404,0.5055199382986053,-8.017731604992306e-05,-5.796690810544458e-05,-8.700435480457624e-05,11
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6708425661359243,1.028702240997568,0.5214124696853645,0.6707163317610859,1.0285350322205198,0.5213033267478787,-0.0001262343748383,-0.0001672087770481,-0.0001091429374857,11
recovery_long_ge90,recovery >= 90 min,11556,0.7936362799495754,1.1938049753216218,0.5407794661922936,0.7935490845868363,1.1937712979307695,0.5406584228428393,-8.71953627391564e-05,-3.367739085224919e-05,-0.0001210433494542,11
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8410956339689718,1.2770512322999363,0.5417665848777993,0.8410184910417344,1.2770376293967414,0.5416458783479804,-7.714292723737248e-05,-1.360290319496471e-05,-0.0001207065298188,11
overall,all test events,27499,0.7075284829132151,1.1021290314300882,0.5223900088174734,0.7073001243168024,1.1018135225630052,0.5222025515792752,-0.0002283585964126,-0.0003155088670829,-0.0001874572381982,23
severity_low,severity <= 1.557,9167,0.5699663124403138,0.8362681306787395,0.5038067052232063,0.5697817664994639,0.8359416399477867,0.5036574218343359,-0.0001845459408499,-0.0003264907309528,-0.0001492833888703,23
severity_mid,1.557 < severity <= 2.578,9167,0.6619068212118702,0.9600897260219046,0.5242734319975974,0.661602304820002,0.9596232066077782,0.5240436919439817,-0.0003045163918681,-0.0004665194141263,-0.0002297400536156,23
severity_high,severity > 2.578,9165,0.8340806650433672,1.2835414815661446,0.5362009946371183,0.8338904910409374,1.2833330008712305,0.5360229690066799,-0.0001901740024298,-0.000208480694914,-0.0001780256304384,23
recovery_short_lt30,recovery < 30 min,12563,0.6065161953340562,0.937863312824626,0.5047306017851748,0.6062894614849519,0.9375086315552196,0.5045431812693179,-0.0002267338491043,-0.0003546812694061,-0.0001874205158569,23
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6697321161957819,1.0276247439130548,0.5202882507032417,0.6694403991034161,1.0270548147348986,0.5201126995412048,-0.0002917170923657,-0.0005699291781562,-0.0001755511620369,23
recovery_long_ge90,recovery >= 90 min,11556,0.79082735054456,1.189192684310146,0.5391099926548031,0.7906136582654297,1.188943033423904,0.5389190634570837,-0.0002136922791302,-0.0002496508862421,-0.0001909291977193,23
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8375846330736829,1.2705793719340213,0.5402885131514297,0.8374106991625919,1.2703955097726851,0.5401214238558655,-0.0001739339110909,-0.0001838621613359,-0.0001670892955641,23
