model,group,subset,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,best_f1_selected_gain,hp_threshold,hp_precision,hp_recall,hp_selected_gain,hp_selected_rate
element_normal_veto,overall,all,0.0275,0.48507588107762906,0.3484883243582623,0.7977473742399116,0.0013772316247843883,0.13,0.7333333333333333,0.00015201768933112216,0.0408888300259908,5.473353888817938e-05
element_normal_veto,overall,affected,0.0275,0.49721095334685594,0.35254796848952374,0.8432100695801735,0.0010633047575442666,0.13,0.75,0.00023453991087483386,0.0442386120557785,9.119927040583675e-05
element_normal_veto,overall,unaffected,0.025,0.4782603217799953,0.33903754778321604,0.8114925819829835,0.001475219187072829,0.11750000000000001,0.55,0.0009406131087263244,0.021639768965542316,0.000429334263557571
element_normal_veto,severity_low,all,0.0275,0.48441835645677694,0.3517604815168815,0.7777143183505626,0.0014466510760408763,0.13,0.5,0.00011422696898737793,-0.002854384481906891,5.699954400364797e-05
element_normal_veto,severity_low,affected,0.025,0.4904679376083188,0.3419250906161901,0.8672114402451481,0.0006118382511422656,0.05,0.38040954190415877,0.46016343207354443,0.0013425769005187055,0.33519671667138407
element_normal_veto,severity_low,unaffected,0.0275,0.4827248566233039,0.3533326507627726,0.7616420216287795,0.001666147293165885,0.12,0.5555555555555556,0.00036783638637534027,0.013254566325081719,0.00016058810934265933
element_normal_veto,severity_mid,all,0.0275,0.4830443790208266,0.34451472418083784,0.8079027355623101,0.0015131856181482596,0.11750000000000001,0.5606060606060606,0.0014994934143870314,0.02813995358618823,0.000697667043688756
element_normal_veto,severity_mid,affected,0.0275,0.4991522324545364,0.3534535524271388,0.8492081447963801,0.001509475936813059,0.11750000000000001,0.46511627906976744,0.0022624434389140274,0.023889432812845984,0.001406883915717838
element_normal_veto,severity_mid,unaffected,0.0275,0.4738086160884483,0.3393310580204778,0.7848437006630881,0.0015153368788138795,0.1125,0.5538461538461539,0.0022734449005367857,0.019659892641581023,0.0010150381810515796
element_normal_veto,severity_high,all,0.0275,0.48713789107763605,0.34998334998334996,0.8010670731707317,0.0012244259051475475,0.125,0.5555555555555556,0.000662778366914104,0.05217872311671575,0.00032943501894251357
element_normal_veto,severity_high,affected,0.0275,0.4981205174918709,0.3536693191865606,0.8420396070481834,0.0008454686938980967,0.12,0.5555555555555556,0.0027288320598783723,0.055538282094020695,0.00146429899590926
element_normal_veto,severity_high,unaffected,0.025,0.47945322511747107,0.34074074074074073,0.8086455331412103,0.0014554707773943598,0.13,1.0,0.00011527377521613833,0.11963902413845062,3.0186856642617805e-05
element_normal_veto,recovery_short_lt30,all,0.0275,0.4845299938529778,0.35000348262171765,0.7870315987313521,0.0012689793253743793,0.13,0.625,0.00019577900465954032,0.02039320394396782,7.921184217040447e-05
element_normal_veto,recovery_short_lt30,affected,0.0275,0.4951592883740174,0.35135928600786803,0.8382126348228043,0.0009987652963190862,0.13,0.75,0.00042022692253817064,0.04364079236984253,0.0001585288522511097
element_normal_veto,recovery_short_lt30,unaffected,0.0275,0.48016055240913647,0.34943188850657225,0.7671739130434783,0.0013828990503252593,0.13,0.5,0.00010869565217391305,-0.002854384481906891,5.2796219790662986e-05
element_normal_veto,recovery_mid_30_90,all,0.03,0.486785009861933,0.35800976741937046,0.7602423246739912,0.0026271002043285747,0.1075,0.5571428571428572,0.004004517917650683,0.05620943648474557,0.001886894172192571
element_normal_veto,recovery_mid_30_90,affected,0.0325,0.5191171899285048,0.38970130678282516,0.7772261867825008,0.003456438389453485,0.1,0.574468085106383,0.016754576481538937,0.058844823271353194,0.008636530687247335
element_normal_veto,recovery_mid_30_90,unaffected,0.025,0.4731519599069268,0.33394391106619503,0.8113873542050337,0.0019807620953752963,0.10250000000000001,0.4823529411764706,0.006292203806015961,0.03308537663782344,0.00324254215304799
element_normal_veto,recovery_long_ge90,all,0.025,0.4854798862629935,0.3409686149548212,0.8425920931988566,0.0011190080460944112,0.11750000000000001,0.5633802816901409,0.0021573809395393994,0.041583574914806326,0.0010444094673511717
element_normal_veto,recovery_long_ge90,affected,0.0275,0.49516782907756446,0.3499063187335379,0.8466491458607096,0.0006625726559319087,0.1275,0.6666666666666666,0.00039421813403416555,0.07565896544191572,0.0001744050848771413
element_normal_veto,recovery_long_ge90,unaffected,0.025,0.4788683293108072,0.3387268105770325,0.8168054157899551,0.0014690320040044028,0.115,0.6071428571428571,0.0023328149300155523,0.036398621719507945,0.0009957561819862965
element_normal_veto,severity_high_and_long,all,0.0275,0.4861048248393229,0.34836198507946803,0.8040125767330438,0.0013279076548205024,0.12,0.5753424657534246,0.0015720916304836053,0.052849755762782814,0.0007506118000287906
element_normal_veto,severity_high_and_long,affected,0.0275,0.49444300852933576,0.34963629052893225,0.8439954116297538,0.0007839421952222224,0.11750000000000001,0.5522388059701493,0.00326480190593841,0.05309693876709511,0.0017435203497449777
element_normal_veto,severity_high_and_long,unaffected,0.025,0.47979865900751184,0.34054216210319627,0.8117402327244361,0.0016759440908457397,0.12,0.5833333333333334,0.0009100955600338036,0.04334555255870024,0.00040798286471968175
focused_impact_veto,overall,all,0.03,0.4761049343755563,0.33659412828081736,0.8131288004422332,0.0014014977053762572,0.11750000000000001,0.553763440860215,0.001423438363736871,0.057137398870401486,0.0006786958822134243
focused_impact_veto,overall,affected,0.035,0.4918784543721188,0.3557712450247888,0.796653897271519,0.0017180115827578417,0.115,0.5608465608465608,0.004143538425455398,0.051173348590810463,0.0021545827633378933
focused_impact_veto,overall,unaffected,0.03,0.46907170579627155,0.3339191245742445,0.788020009406131,0.0014521611471762618,0.1275,0.5714285714285714,8.551028261148403e-05,0.023917487689426968,3.756674806128747e-05
focused_impact_veto,severity_low,all,0.0275,0.4754335260115607,0.3336483278401364,0.8267748015306414,0.0011942130937808027,0.1275,0.5714285714285714,0.00022845393797475585,0.023917487689426968,9.974920200638395e-05
focused_impact_veto,severity_low,affected,0.0275,0.4801401050788091,0.3308234385558452,0.8751276813074566,0.0003480860381870412,0.07,0.3876651982378855,0.2247191011235955,0.001443861141013154,0.16062836116614776
focused_impact_veto,severity_low,unaffected,0.0275,0.4739924068552798,0.3345343345040572,0.8128448466122269,0.0014595948961574462,0.1275,0.5714285714285714,0.0002942691091002722,0.023917487689426968,0.00012490186282206837
focused_impact_veto,severity_mid,all,0.0325,0.4746252218075017,0.3399719495091164,0.7858966565349544,0.0015262819890157864,0.12,0.6296296296296297,0.0006889564336372847,0.0603299825279801,0.00028540924514540016
focused_impact_veto,severity_mid,affected,0.035,0.4952624662839754,0.356659029783843,0.8100678733031674,0.0016326003546455181,0.12,0.6538461538461539,0.0019230769230769232,0.05758010194851802,0.0008506739955503206
focused_impact_veto,severity_mid,unaffected,0.03,0.46342588322110506,0.327339066979411,0.7931796652983897,0.0014266046797596977,0.115,0.6470588235294118,0.0006946637196084622,0.04287585265496198,0.0002654715242750285
focused_impact_veto,severity_high,all,0.0275,0.4790825722204654,0.33300147397274443,0.8534928419936373,0.001317421392156139,0.115,0.562874251497006,0.0031150583244962883,0.06267131989944481,0.001528212448983327
focused_impact_veto,severity_high,affected,0.035,0.49319227895992485,0.356911164591399,0.7978325276781537,0.0021460185804603148,0.105,0.550351288056206,0.01832215811632621,0.04006032643085062,0.009924693194496095
focused_impact_veto,severity_high,unaffected,0.0275,0.4716358407947193,0.3291147899849501,0.8318731988472623,0.0013724135229441,0.125,0.5,5.7636887608069166e-05,0.015628814697265625,3.0186856642617805e-05
focused_impact_veto,recovery_short_lt30,all,0.0275,0.47427164000266275,0.33089248393838533,0.8369160891186029,0.001149227118157949,0.1225,0.5666666666666667,0.0006656486158424371,0.05038004716237386,0.0002970444081390168
focused_impact_veto,recovery_short_lt30,affected,0.035,0.48719378780728473,0.35114409400123686,0.7953494887239109,0.0010793551444965854,0.1225,0.6842105263157895,0.0018209833309987392,0.08823175493039583,0.0007530120481927711
focused_impact_veto,recovery_short_lt30,unaffected,0.0275,0.47024014527693414,0.3302475922424029,0.81625,0.001242433759163754,0.1275,0.5714285714285714,0.0002173913043478261,0.023917487689426968,9.239338463366023e-05
focused_impact_veto,recovery_mid_30_90,all,0.03,0.4799466860535563,0.3403944485025566,0.8134305370161208,0.0020604355110804985,0.1,0.55,0.013553752952048465,0.037893066400041184,0.006469351447517387
focused_impact_veto,recovery_mid_30_90,affected,0.035,0.5055317452407057,0.3723935389133627,0.7868445547626435,0.002522960570080154,0.09,0.582089552238806,0.06050263729444617,0.03828544983668114,0.03077912532157295
focused_impact_veto,recovery_mid_30_90,unaffected,0.03,0.4696900845224029,0.33363460296965786,0.7931246163290362,0.0020015414647897496,0.1075,0.5909090909090909,0.0019950890116635974,0.02269921045411717,0.0008392462043183033
focused_impact_veto,recovery_long_ge90,all,0.03,0.4764824740016071,0.3352177301616922,0.8235262391456771,0.0013618079962972724,0.11750000000000001,0.6122448979591837,0.0016180357046545494,0.07894408961339873,0.0007207896323972875
